case_id,transaction_id,amount,trigger_reason,fraud_pattern,anomaly_score,simulated_step_up,customer_id,account_id,device_id,ip_address,is_emulator,is_vpn,is_tor,merchant_category,merchant_risk_tier,expected_action
HHG-001,TXN-HHG-001,2850.00,Device Hardware Fingerprint Collision & Emulated Environment,Device Farming / Multi-Accounting,0.88,FAILED,CUST-HHG-001,ACC-HHG-001,DEV-FARM-EMU-01,185.220.101.22,true,true,true,High-End Consumer Goods,HIGH,BLOCK_TRANSACTION
HHG-002,TXN-HHG-002,850.00,Unrecognized Device with Elevated Behavioral Velocity,Account Takeover,0.62,FAILED,CUST-HHG-002,ACC-HHG-002,DEV-UNKNOWN-02,104.28.192.4,false,true,false,Digital Gaming & Vouchers,MEDIUM,BLOCK_TRANSACTION
HHG-003,TXN-HHG-003,340.00,Customer Travel Anomaly - New Subnet & Off-Baseline Spend,Account Takeover,0.48,PASSED,CUST-HHG-003,ACC-HHG-003,DEV-MAC-03,172.56.21.99,false,false,false,Hospitality & Lodging,LOW,ALLOW_TRANSACTION
HHG-004,TXN-HHG-004,9200.00,Rapid Pass-Through Chain Exceeding Mandatory SAR Limits,Money Mule Pass-Through Syndicate,0.92,FAILED,CUST-HHG-004,ACC-HHG-004,DEV-WIN-04,91.240.118.50,false,true,false,Virtual Asset Service Provider,CRITICAL,ESCALATE_TO_FRAUD_ANALYST
HHG-005,TXN-HHG-005,4750.00,Card-Not-Present Burst - 12 Attempts in 4 Minutes,Card Testing & Velocity Burst,0.87,FAILED,CUST-HHG-005,ACC-HHG-005,DEV-HEADLESS-05,45.154.255.99,true,true,false,Electronics & Appliances,HIGH,BLOCK_TRANSACTION
HHG-006,TXN-HHG-006,125.00,Low-Value Probe Transaction at Grocery Merchant,Card Testing & Velocity Burst,0.35,PASSED,CUST-HHG-006,ACC-HHG-006,DEV-MOBILE-06,73.189.44.12,false,false,false,Grocery & Supermarkets,LOW,ALLOW_TRANSACTION
HHG-007,TXN-HHG-007,18500.00,Structuring Alert - 6 Sub-Threshold Transfers in 24h,Structuring / Smurfing,0.95,FAILED,CUST-HHG-007,ACC-HHG-007,DEV-DESK-07,194.26.29.100,false,true,true,Wire Transfer Services,CRITICAL,ESCALATE_TO_FRAUD_ANALYST
HHG-008,TXN-HHG-008,620.00,SIM Swap Alert - Phone Number Recently Ported,Account Takeover,0.71,FAILED,CUST-HHG-008,ACC-HHG-008,DEV-NEW-08,151.101.65.200,false,false,false,Mobile Top-Up,HIGH,BLOCK_TRANSACTION
HHG-009,TXN-HHG-009,3300.00,Crypto Exchange Rapid Off-Ramp Post Large Deposit,Money Laundering,0.84,FAILED,CUST-HHG-009,ACC-HHG-009,DEV-WIN-09,91.240.118.55,false,true,false,Cryptocurrency Exchange,CRITICAL,ESCALATE_TO_FRAUD_ANALYST
HHG-010,TXN-HHG-010,275.00,Recurring Low-Risk Subscription Transaction,Benign Activity,0.12,PASSED,CUST-HHG-010,ACC-HHG-010,DEV-IOS-10,67.125.34.88,false,false,false,Streaming & Subscriptions,LOW,ALLOW_TRANSACTION
